"OBS","AGE","GENDER","CHK_ACCT","SAV_ACCT","NUM_CREDITS","DURATION","HISTORY","PRESENT_RESIDENT","EMPLOYMENT","JOB","NUM_DEPENDENTS","RENT","INSTALL_RATE","GUARANTOR","OTHER_INSTALL","OWN_RES","TELEPHONE","FOREIGN","REAL_ESTATE","TYPE","AMOUNT_REQUESTED","CREDIT_EXTENDED","NPV","IsProfitable","Predicted","MySample"
402,28,"male","0","0",1,15,"2","4","2","2",1,1,2,0,0,0,0,0,0,"1",1403,1122,257,1,0.362976198790436,"T"
22,33,"male","3","4",2,9,"4","2","2","2",2,0,1,0,0,1,0,0,1,"4",3074,2151,262,1,0.989372382098968,"T"
718,52,"female","0","2",2,6,"4","4","4","2",1,0,4,0,0,1,0,0,0,"4",338,202,22,1,0.839265105030634,"T"
742,23,"male","0","4",2,18,"3","2","2","2",1,1,1,0,0,0,1,0,0,"5",8471,4235,463,1,0.437604545233668,"T"
193,37,"male","3","2",1,48,"3","1","3","3",1,0,4,0,0,1,1,0,0,"4",12749,12749,3442,1,0.816265061244957,"T"
371,41,"female","1","1",2,30,"3","2","4","2",1,0,4,0,1,1,0,0,0,"6",2503,2002,313,1,0.452114399886558,"T"
499,30,"female","3","0",2,24,"4","2","3","1",1,0,2,0,0,1,0,0,0,"3",2028,1419,217,1,0.942379549194203,"T"
104,27,"male","0","0",1,24,"2","2","2","2",1,0,2,0,1,1,0,0,0,"3",4020,3618,879,1,0.327239798624216,"T"
965,40,"female","0","0",1,12,"2","4","2","1",2,1,4,0,0,0,0,0,0,"5",684,615,-487,0,0.210642733353951,"T"
767,27,"female","3","0",1,48,"1","1","2","2",1,0,1,0,1,1,0,0,1,"6",3609,2165,473,1,0.771472204487419,"T"
492,31,"female","0","0",1,24,"1","2","2","2",1,1,4,0,0,0,1,0,0,"6",3161,3161,-2801,0,0.120339341204418,"T"
838,57,"female","1","0",1,36,"2","2","4","3",1,0,4,0,0,0,1,0,0,"1",14318,11454,-5352,0,0.0374869596743171,"T"
616,48,"male","0","1",2,9,"4","4","4","2",2,0,3,1,0,1,0,1,1,"0",1288,1159,252,1,0.981281335718218,"T"
615,39,"male","0","0",2,6,"4","4","4","2",1,0,1,0,0,1,1,0,0,"1",860,688,111,1,0.835518043231408,"T"
843,20,"male","3","0",1,9,"2","4","4","2",1,0,1,0,0,1,0,0,0,"3",1313,787,154,1,0.938503262904594,"T"
465,32,"male","0","0",2,18,"4","1","3","3",1,0,4,0,0,1,1,0,0,"4",1880,1316,219,1,0.897885323338825,"T"
525,25,"male","3","0",1,24,"2","1","3","2",1,0,4,0,0,1,1,0,1,"6",1258,754,178,1,0.961914702372982,"T"
808,39,"female","3","4",1,54,"0","2","2","1",2,0,2,0,0,1,0,0,0,"2",9436,7548,1677,1,0.751375836476197,"T"
977,63,"female","3","0",2,12,"4","4","4","1",1,0,2,0,0,1,1,0,1,"4",1655,1489,288,1,0.988298352209278,"T"
176,23,"female","0","0",1,18,"2","2","1","1",1,0,1,0,0,1,0,0,0,"1",976,683,-300,0,0.244452891351718,"T"
345,41,"male","3","0",1,12,"2","4","4","1",2,0,4,0,1,1,0,0,0,"5",719,431,-280,0,0.642027957986119,"T"
791,27,"male","1","4",1,36,"2","2","2","2",1,0,2,0,0,1,0,0,0,"5",3711,2597,521,1,0.528590441261619,"T"
110,54,"male","0","0",1,12,"4","3","4","2",1,0,4,0,0,1,0,0,1,"2",1409,1268,318,1,0.929258826199213,"T"
84,44,"male","3","2",2,24,"3","2","2","2",2,0,4,0,0,1,1,0,0,"6",2375,1425,148,1,0.864698459667698,"T"
871,25,"male","1","0",1,9,"2","4","4","2",1,0,4,0,0,1,0,0,1,"4",1206,1085,296,1,0.691384188957848,"T"
29,23,"male","3","3",2,15,"4","4","4","2",1,1,3,0,0,0,1,0,0,"2",3368,2694,414,1,0.981236212239701,"T"
141,28,"female","1","4",2,18,"4","4","2","2",1,0,4,0,1,1,0,0,1,"6",1887,1698,312,1,0.876994416427943,"T"
252,26,"female","2","0",1,15,"2","4","3","2",1,1,2,0,0,0,1,0,0,"6",2687,2687,791,1,0.919754404214719,"T"
733,34,"female","3","3",1,24,"2","3","3","2",2,0,4,0,0,1,1,0,0,"1",1525,1372,347,1,0.879827717468743,"T"
620,28,"male","3","0",2,6,"4","1","2","2",1,0,1,0,0,1,1,0,0,"4",1382,1243,237,1,0.991323484647552,"T"
304,57,"male","3","4",1,12,"4","4","4","1",1,1,4,0,0,0,0,0,0,"6",1264,1137,275,1,0.987314666376628,"T"
545,41,"male","3","4",2,9,"4","4","4","1",1,1,4,0,0,0,0,0,0,"5",1244,995,138,1,0.931649655411392,"T"
557,23,"female","1","1",2,24,"3","2","3","2",1,1,3,0,0,0,1,0,0,"4",1553,1242,193,1,0.727394882200576,"T"
661,74,"male","3","0",1,24,"4","2","2","3",1,0,3,0,0,1,1,0,1,"6",4526,2263,336,1,0.973470205699138,"T"
287,35,"male","0","0",1,24,"2","4","1","2",1,0,4,0,0,1,1,0,1,"4",2439,2195,-1208,0,0.392249767473907,"T"
614,27,"female","3","3",2,27,"3","2","2","2",1,0,2,0,0,1,0,0,0,"2",8613,7751,1442,1,0.910006044242046,"T"
145,30,"male","0","0",1,12,"2","3","2","2",1,0,2,0,0,1,0,0,0,"3",1620,972,200,1,0.677406811621642,"T"
329,63,"female","3","4",1,15,"4","4","4","2",1,0,4,0,0,1,0,0,0,"3",1520,1064,225,1,0.984178769929366,"T"
487,25,"male","3","0",1,10,"2","2","2","1",1,1,2,0,1,0,0,0,1,"3",2210,1989,-948,0,0.827587400071903,"T"
855,24,"male","0","0",1,12,"1","4","2","1",1,0,4,0,1,1,0,0,1,"4",626,563,-231,0,0.290699169093433,"T"
851,28,"female","3","0",1,24,"2","2","2","2",1,0,4,0,0,1,0,0,0,"4",1413,1413,426,1,0.74240880137713,"T"
630,20,"male","3","4",1,12,"2","4","1","2",1,1,1,0,0,0,0,0,0,"2",4675,2805,673,1,0.960824912630489,"T"
498,33,"male","3","0",1,30,"4","2","2","2",1,0,4,0,0,1,1,0,0,"4",2831,2264,535,1,0.893906136034656,"T"
858,27,"female","1","0",2,36,"4","4","1","2",1,0,4,0,0,1,0,0,0,"1",2820,2256,-1037,0,0.146406213310522,"T"
816,38,"male","1","1",2,24,"2","3","3","2",1,0,2,0,1,1,1,0,0,"1",3512,3160,561,1,0.601632494212113,"T"
619,74,"male","1","0",1,9,"1","4","4","3",2,0,2,0,1,0,1,0,0,"2",5129,3077,-1488,0,0.705629979072688,"T"
576,32,"female","0","4",1,24,"2","4","3","2",1,1,4,0,0,0,0,0,0,"1",1285,1156,-424,0,0.535401573704301,"T"
490,29,"male","3","4",2,18,"4","3","2","2",1,0,4,0,0,1,1,0,0,"4",1169,701,70,1,0.981886034812556,"T"
736,26,"female","3","0",2,36,"3","2","2","3",1,0,4,0,0,1,1,0,0,"4",4463,3124,-1012,0,0.686260607544616,"T"
103,44,"female","0","2",1,6,"2","3","2","2",2,1,2,0,0,0,0,0,1,"4",2647,2647,770,1,0.752174990941404,"T"
316,29,"female","1","3",1,24,"4","4","4","2",1,1,2,0,0,0,0,0,0,"2",7758,4654,900,1,0.886979239139665,"T"
51,27,"male","0","0",1,24,"2","1","1","2",1,0,4,0,0,1,0,0,0,"1",3123,2498,-1330,0,0.138927515903874,"T"
907,25,"male","3","4",1,36,"2","4","2","2",1,0,4,0,0,1,0,0,0,"4",2394,1436,283,1,0.909825004651889,"T"
290,38,"male","0","0",2,12,"4","4","2","1",1,0,4,0,1,1,0,1,0,"1",2171,1519,261,1,0.751383410847714,"T"
650,29,"female","1","1",1,36,"2","1","1","3",1,1,4,0,0,0,1,0,0,"3",9034,7227,-3545,0,0.16454126244504,"T"
998,25,"female","1","1",1,15,"1","2","2","2",1,1,2,0,0,0,0,0,0,"1",1264,884,-286,0,0.177510518870921,"T"
811,30,"male","0","4",1,24,"2","2","1","2",1,0,1,0,0,1,1,1,0,"3",7721,4632,993,1,0.862583124915352,"T"
282,24,"female","0","0",2,36,"4","4","3","2",1,0,4,0,0,1,1,0,0,"2",9629,5777,-1853,0,0.528820429621715,"T"
143,30,"female","1","4",1,12,"2","2","2","2",1,0,4,0,0,1,0,0,0,"2",2028,1825,518,1,0.867875108482933,"T"
442,35,"male","0","4",1,24,"2","2","2","2",1,0,4,0,0,1,0,0,0,"1",1381,1242,-443,0,0.437765734210152,"T"
285,23,"female","3","0",1,18,"2","4","1","2",1,0,4,0,0,1,0,0,1,"0",1943,1360,-792,0,0.662840060578533,"T"
682,62,"male","3","2",1,6,"2","4","2","2",1,0,1,0,0,1,0,0,1,"0",1338,936,181,1,0.98680314882702,"T"
48,22,"female","1","1",1,24,"2","2","1","2",1,1,3,0,0,0,1,0,0,"4",3092,1546,-790,0,0.310877282070128,"T"
501,35,"male","3","4",1,36,"2","4","2","1",2,0,2,0,0,0,1,0,0,"5",9055,5433,1032,1,0.693391640349014,"T"
716,45,"male","0","0",1,12,"1","1","4","1",1,0,4,0,1,1,0,0,0,"0",339,271,59,1,0.453174190899406,"T"
511,39,"male","1","0",2,24,"4","3","2","3",2,0,2,0,0,1,1,0,0,"0",11938,8356,-3313,0,0.572174704574182,"T"
295,31,"female","3","4",1,24,"2","2","3","2",1,0,4,0,1,1,1,0,0,"3",929,557,123,1,0.936805127505573,"T"
536,23,"male","1","0",1,24,"2","2","1","1",1,0,4,0,1,1,0,0,1,"1",1246,1121,-569,0,0.109499225442452,"T"
693,21,"male","0","0",1,18,"4","4","1","2",1,1,4,0,0,0,0,0,0,"3",1049,944,286,1,0.348968919500226,"T"
214,27,"male","3","0",2,15,"2","3","1","1",1,0,2,0,1,1,0,0,0,"3",2708,1354,151,1,0.697075528921949,"T"
918,65,"male","0","0",2,21,"4","4","4","2",1,0,4,0,0,1,0,0,1,"1",571,456,87,1,0.631608185480676,"T"
737,22,"male","0","0",1,18,"2","4","1","2",1,1,1,0,0,0,0,0,0,"3",3650,2920,799,1,0.33789734036077,"T"
339,26,"male","2","0",1,12,"2","1","1","2",1,0,4,0,0,1,0,0,1,"1",1330,798,181,1,0.592208473774496,"T"
346,35,"male","3","0",1,24,"2","4","4","3",1,0,4,0,0,1,1,0,0,"2",2670,1869,424,1,0.931965876201148,"T"
675,23,"male","0","0",1,15,"2","4","0","2",1,1,1,0,0,0,0,0,0,"1",2511,1757,350,1,0.161850725389973,"T"
43,20,"male","3","3",1,15,"2","3","3","2",1,1,2,0,0,0,0,0,0,"1",3186,3186,862,1,0.901817506293504,"T"
1,67,"female","0","4",2,6,"4","4","4","2",1,0,4,0,0,1,1,0,1,"4",1169,1052,243,1,0.965778799867835,"T"
910,36,"female","1","4",2,20,"3","4","3","3",2,1,3,0,1,0,1,0,0,"2",7057,5645,807,1,0.882620692473149,"T"
590,31,"female","3","4",1,36,"3","2","3","3",2,0,3,0,1,1,1,0,0,"2",8947,6262,1377,1,0.943150444779856,"T"
959,60,"female","0","0",2,12,"4","3","4","2",1,0,3,0,0,1,0,0,0,"3",2246,1572,-654,0,0.783812482432571,"T"
796,37,"female","1","0",3,9,"4","4","4","1",1,0,2,0,0,1,0,0,1,"4",1154,692,41,1,0.898054157035768,"T"
628,26,"male","3","0",2,18,"4","2","2","2",1,0,2,0,0,1,0,0,0,"4",2404,1923,380,1,0.931096581263293,"T"
233,34,"male","0","0",1,24,"2","1","3","3",1,0,2,0,0,0,1,0,0,"2",2910,1455,306,1,0.92233393008217,"T"
293,22,"male","0","0",1,9,"2","4","1","2",1,1,3,0,0,0,0,0,0,"4",1366,1092,-502,0,0.348933849058614,"T"
573,41,"male","3","3",2,6,"4","2","2","1",1,0,2,0,1,1,0,0,1,"1",250,150,22,1,0.965172181836925,"T"
369,47,"male","3","0",3,24,"4","3","1","2",1,0,3,0,0,0,1,0,0,"4",5103,4592,439,1,0.782752804661611,"T"
451,24,"male","0","0",1,24,"2","4","1","2",1,1,4,0,0,0,0,0,0,"1",1207,844,-375,0,0.0788776425148412,"T"
86,33,"female","0","0",2,20,"4","2","2","2",1,1,4,1,1,0,0,1,0,"1",2235,1341,-603,0,0.588990000619857,"T"
483,35,"female","3","0",2,18,"4","2","1","3",1,0,3,0,0,1,1,0,0,"3",3780,1890,231,1,0.782430483601876,"T"
327,57,"male","3","0",3,12,"4","4","4","1",1,0,2,0,1,0,0,0,0,"5",2748,1648,115,1,0.831200228574662,"T"
622,31,"male","0","0",1,18,"0","1","3","2",1,0,3,0,1,1,1,0,0,"6",3104,2483,724,1,0.631786591290843,"T"
355,34,"female","2","0",1,18,"2","1","2","1",2,0,2,0,0,1,0,0,1,"3",2864,1718,-559,0,0.912379582555544,"T"
819,20,"male","0","1",1,12,"2","1","3","2",1,0,4,0,0,1,0,0,0,"4",674,606,-211,0,0.817172130316263,"T"
812,23,"male","0","2",2,33,"4","4","2","2",1,0,1,0,0,1,0,0,0,"3",4281,2996,-1312,0,0.712882006479786,"T"
49,23,"male","1","0",1,12,"4","1","2","1",1,0,1,0,0,1,0,0,1,"4",3573,2501,590,1,0.957715099438561,"T"
361,28,"female","3","0",1,36,"2","2","2","3",1,0,4,0,0,1,1,0,0,"3",3349,2344,-1215,0,0.639878640443331,"T"
885,59,"male","0","0",1,9,"2","4","3","2",1,0,3,0,0,1,0,0,1,"4",1364,1091,276,1,0.885530915767126,"T"
242,42,"male","3","0",2,12,"4","2","0","3",1,0,4,0,1,1,1,0,0,"6",2292,2292,-1437,0,0.757923106354601,"T"
440,31,"male","3","0",1,9,"4","3","0","3",1,0,2,0,0,1,0,0,0,"3",2406,1924,437,1,0.900582371330035,"T"
758,33,"female","3","4",2,24,"4","2","2","2",1,0,3,0,0,1,1,0,0,"5",1927,1156,193,1,0.9212083832825,"T"
817,25,"female","3","0",1,24,"2","4","3","2",1,1,2,0,0,0,1,0,0,"3",3972,2383,396,1,0.879112850168228,"T"
818,31,"male","3","0",2,12,"2","2","3","3",2,1,4,0,0,0,1,0,0,"4",1963,1177,172,1,0.834033240394366,"T"
247,34,"female","1","0",1,12,"2","1","1","3",1,1,3,0,0,0,0,0,1,"3",3017,2715,656,1,0.537309054125309,"T"
751,34,"male","1","1",1,15,"1","2","0","3",2,0,1,0,0,1,1,0,0,"1",6850,3425,-1718,0,0.081410362857264,"T"
219,40,"male","0","4",2,21,"1","2","2","1",2,0,4,0,0,1,0,0,0,"1",1647,1152,-610,0,0.163611258734517,"T"
135,26,"male","0","0",1,21,"2","4","3","1",1,1,1,0,0,0,0,0,0,"3",3599,2159,426,1,0.687888088839364,"T"
961,45,"male","3","4",1,15,"2","4","4","2",2,0,4,0,1,0,0,0,0,"2",1300,780,130,1,0.960845942967801,"T"
958,27,"male","3","0",2,24,"2","3","1","1",1,0,4,0,0,1,0,0,0,"0",937,655,103,1,0.641841993406723,"T"
377,30,"female","3","4",1,21,"4","4","4","3",1,0,4,0,0,0,1,0,0,"1",12680,6340,-2703,0,0.65268620890496,"T"
408,40,"female","0","4",1,36,"2","4","4","3",1,0,4,0,0,1,1,0,0,"5",1977,1383,-961,0,0.516084037546625,"T"
884,63,"male","0","0",2,24,"4","4","4","2",1,0,4,0,0,1,1,0,0,"2",2957,1774,277,1,0.871867237869753,"T"
565,27,"male","3","4",2,36,"3","4","1","2",1,1,4,0,0,0,1,0,0,"6",7980,5586,-3503,0,0.669405528213755,"T"
467,50,"female","2","0",1,6,"4","4","2","1",1,0,2,0,0,1,0,0,0,"5",1047,523,73,1,0.93252604894921,"T"
356,27,"female","1","1",1,12,"4","1","1","2",1,0,4,0,0,1,0,0,0,"1",1995,1795,579,1,0.508655260426961,"T"
130,28,"male","1","0",1,36,"2","4","1","3",1,1,1,0,0,0,1,0,0,"2",9398,6578,-2415,0,0.470527551912144,"T"
891,46,"female","3","0",2,15,"3","2","1","1",1,0,1,0,0,1,0,0,0,"2",3594,3594,824,1,0.932521368192849,"T"
65,27,"male","0","0",1,18,"2","1","0","0",1,0,4,0,0,1,0,0,1,"5",750,525,-403,0,0.437439252439385,"T"
842,31,"female","3","2",1,21,"2","2","3","3",1,0,1,0,1,1,0,0,0,"1",2782,1669,366,1,0.848958554454023,"T"
359,33,"female","1","0",1,36,"2","1","1","1",1,1,4,0,0,0,0,0,0,"0",2384,1907,-594,0,0.307339859140213,"T"
992,39,"male","0","0",1,24,"2","2","4","3",1,1,4,0,0,0,1,0,0,"3",3345,2676,-971,0,0.309913819422272,"T"
124,51,"male","3","2",1,9,"2","4","4","1",1,0,2,0,0,0,0,0,0,"1",2507,1504,262,1,0.86415274404382,"T"
77,59,"female","3","4",1,15,"4","4","4","2",1,0,1,0,0,1,1,0,0,"1",5045,3027,507,1,0.984935093848797,"T"
218,34,"male","1","0",1,24,"3","2","0","3",1,0,3,0,0,1,1,0,0,"3",2064,1651,-882,0,0.409748150381243,"T"
610,61,"female","3","4",1,12,"4","2","3","2",1,0,4,0,0,1,0,0,0,"5",2012,1207,215,1,0.967156779897843,"T"
194,22,"male","1","0",1,9,"2","2","1","2",1,0,4,0,0,1,1,0,0,"4",1670,1503,-488,0,0.390794596195059,"T"
19,28,"female","3","0",2,36,"3","1","1","2",1,0,1,0,0,1,0,0,0,"6",9572,6700,-4386,0,0.719021212927262,"T"
273,24,"female","0","0",1,12,"2","2","2","1",1,0,4,0,0,1,0,0,1,"1",1228,736,-376,0,0.222094983285989,"T"
418,26,"male","0","0",2,21,"3","1","1","2",1,0,2,0,0,1,0,0,0,"5",3414,2048,-1278,0,0.289553712818743,"T"
543,21,"male","1","0",1,18,"2","3","2","2",1,1,1,0,0,0,1,0,0,"2",2779,1667,394,1,0.884185090169738,"T"
419,36,"male","1","0",1,18,"4","4","4","2",2,0,4,0,1,1,1,0,0,"1",884,442,-134,0,0.544407009738985,"T"
686,40,"male","3","4",1,10,"2","3","3","2",1,0,4,0,0,1,1,0,0,"0",894,715,162,1,0.986072372409744,"T"
403,26,"female","3","4",2,10,"4","1","2","2",1,0,2,0,0,1,0,1,0,"3",2069,1862,428,1,0.998013489592952,"T"
749,62,"female","3","0",1,24,"2","4","4","2",1,0,4,0,0,0,1,0,0,"1",3757,2629,697,1,0.617905979527672,"T"
587,20,"female","3","2",1,15,"2","4","2","2",1,1,2,0,0,0,0,0,0,"3",2221,1554,400,1,0.856156225126369,"T"
16,42,"male","3","1",1,6,"2","4","4","2",2,0,2,0,1,0,1,0,0,"4",1346,1076,295,1,0.942810057218042,"T"
951,45,"female","3","1",1,39,"2","2","4","3",1,0,4,0,0,1,1,0,0,"2",8588,5152,948,1,0.774473511592459,"T"
777,31,"male","3","4",1,10,"2","4","1","2",1,1,1,0,0,0,0,0,1,"2",2901,1740,373,1,0.982334499905555,"T"
