"OBS","AGE","GENDER","CHK_ACCT","SAV_ACCT","NUM_CREDITS","DURATION","HISTORY","PRESENT_RESIDENT","EMPLOYMENT","JOB","NUM_DEPENDENTS","RENT","INSTALL_RATE","GUARANTOR","OTHER_INSTALL","OWN_RES","TELEPHONE","FOREIGN","REAL_ESTATE","TYPE","AMOUNT_REQUESTED","CREDIT_EXTENDED","NPV","IsProfitable"
51,27,"male","0","0",1,24,"2","1","1","2",1,0,4,0,0,1,0,0,0,"1",3123,2498,-1330,0
52,26,"male","0","0",1,12,"2","2","3","2",1,0,4,0,0,1,0,0,1,"1",759,531,-305,0
53,44,"male","3","0",2,24,"4","4","4","2",1,0,3,0,0,0,0,0,0,"0",5507,4956,848,1
54,32,"male","1","0",2,36,"2","1","3","2",2,0,3,0,0,1,0,0,0,"5",2273,1818,350,1
55,23,"female","1","0",1,12,"2","1","1","2",1,1,1,0,0,0,0,0,1,"4",1534,920,-415,0
56,23,"male","3","4",2,12,"4","4","3","2",1,0,4,0,0,1,0,0,1,"0",996,498,68,1
57,49,"male","0","4",1,24,"2","4","4","2",2,0,4,0,1,0,1,0,0,"2",2964,2964,1012,1
58,23,"male","0","0",1,24,"2","4","1","1",1,1,4,0,0,0,1,0,1,"3",3234,3234,-1151,0
59,30,"male","1","0",2,18,"4","3","4","2",1,0,3,1,1,1,0,0,1,"1",1056,950,-388,0
60,58,"female","0","0",4,12,"4","3","3","1",1,0,4,0,0,1,1,0,1,"4",385,308,19,1
61,45,"female","1","0",1,7,"2","1","1","2",1,0,1,1,0,1,0,0,1,"4",2329,1397,277,1
62,22,"male","0","1",1,12,"2","3","0","2",1,0,4,0,0,1,0,0,0,"0",741,518,-192,0
63,27,"male","1","0",2,21,"4","3","3","2",1,0,2,0,0,1,0,0,0,"6",3652,2191,337,1
64,28,"female","0","0",1,24,"2","4","2","2",1,0,2,0,0,1,0,0,0,"4",3660,2928,805,1
65,27,"male","0","0",1,18,"2","1","0","0",1,0,4,0,0,1,0,0,1,"5",750,525,-403,0
66,50,"male","0","0",1,48,"2","1","3","3",1,0,4,0,0,0,1,0,0,"5",7476,5980,1585,1
67,23,"male","2","0",1,12,"2","4","2","2",1,1,3,0,0,0,0,0,1,"4",1297,648,137,1
68,27,"male","3","1",2,24,"4","3","2","1",1,0,3,0,0,1,1,0,0,"6",4139,3311,551,1
69,56,"male","3","0",1,6,"2","2","1","2",1,0,1,0,0,1,0,0,0,"5",1538,1230,364,1
70,25,"male","0","0",2,15,"4","3","2","2",1,0,2,0,0,1,0,0,0,"3",975,585,88,1
71,29,"female","3","2",1,12,"2","4","2","1",1,1,4,0,0,0,0,0,0,"3",1123,1010,-535,0
72,32,"male","3","2",2,18,"4","3","4","3",1,0,4,0,1,1,1,0,0,"4",629,440,56,1
73,34,"male","2","0",2,9,"0","2","1","3",1,0,4,0,0,1,1,0,0,"4",1337,1203,-479,0
74,33,"male","1","0",1,24,"3","2","1","2",1,0,1,0,0,1,0,0,0,"4",6403,3841,696,1
75,32,"female","0","1",1,24,"1","3","3","2",1,0,2,0,1,1,0,0,0,"1",2325,1627,356,1
76,49,"male","0","0",1,6,"2","1","4","2",1,0,2,0,1,1,1,0,0,"3",428,342,99,1
77,59,"female","3","4",1,15,"4","4","4","2",1,0,1,0,0,1,1,0,0,"1",5045,3027,507,1
78,26,"male","0","4",1,24,"2","4","4","2",1,1,2,0,0,0,0,0,1,"2",2812,1406,198,1
79,25,"male","1","0",2,39,"4","2","3","2",1,0,2,1,0,1,0,0,1,"4",4933,3946,-2365,0
80,39,"male","1","0",1,21,"2","4","4","2",2,0,2,0,0,1,0,0,0,"6",1188,594,-446,0
81,54,"male","3","0",2,24,"4","4","4","2",2,0,4,0,0,0,0,0,0,"5",1597,1597,401,1
82,26,"male","1","0",1,8,"2","2","1","2",1,0,3,0,0,1,1,0,1,"6",907,816,248,1
83,27,"male","3","0",2,12,"2","2","2","2",1,0,3,0,0,1,1,0,1,"1",1101,990,198,1
84,44,"male","3","2",2,24,"3","2","2","2",2,0,4,0,0,1,1,0,0,"6",2375,1425,148,1
85,29,"male","0","0",1,36,"2","2","3","2",1,0,4,0,0,1,0,0,0,"3",5179,4143,-2232,0
86,33,"female","0","0",2,20,"4","2","2","2",1,1,4,1,1,0,0,1,0,"1",2235,1341,-603,0
87,27,"male","3","3",2,24,"4","2","2","2",1,0,4,0,0,1,0,0,1,"2",5804,4643,956,1
88,40,"male","3","2",2,36,"3","4","3","2",1,0,2,0,0,1,1,0,0,"3",7678,4606,682,1
89,38,"male","3","0",1,24,"2","3","3","3",1,0,3,0,0,1,1,0,0,"2",7814,7032,2237,1
90,43,"male","0","0",4,27,"4","4","4","3",2,0,4,0,1,1,1,0,0,"6",2442,1709,-10,0
91,43,"male","0","0",1,16,"4","4","4","2",1,1,2,1,1,0,1,0,0,"1",2625,2625,-1254,0
92,34,"female","3","0",2,36,"3","4","2","2",1,0,4,0,0,1,0,0,1,"4",4454,3117,397,1
93,28,"male","3","0",2,18,"4","2","2","2",1,0,4,0,0,1,0,0,0,"3",1817,1453,207,1
94,24,"male","0","0",1,24,"2","1","1","1",1,0,4,0,0,1,0,1,0,"3",1747,1572,457,1
95,45,"female","3","4",1,12,"2","3","1","3",2,0,2,0,0,1,1,0,0,"1",3527,2468,522,1
96,40,"female","1","0",3,18,"4","3","0","0",2,0,3,0,0,1,1,0,0,"6",3590,2872,343,1
97,30,"male","3","0",2,6,"4","2","4","2",1,1,2,0,0,0,0,0,1,"4",1740,1218,168,1
98,22,"male","1","1",1,15,"2","2","2","2",1,0,4,1,0,1,0,0,1,"0",1514,1211,296,1
99,49,"male","1","0",1,30,"4","2","3","2",1,0,2,0,0,1,0,0,0,"3",8386,8386,-3751,0
100,37,"female","3","4",2,12,"4","1","1","1",2,0,2,0,0,1,0,0,0,"5",3565,2852,553,1
101,22,"male","1","0",1,48,"2","2","2","2",1,0,2,0,0,1,0,0,1,"4",5951,5355,-3080,0
102,24,"male","0","0",1,48,"2","4","1","2",1,1,3,0,0,0,0,0,0,"6",4308,4308,-2807,0
103,44,"female","0","2",1,6,"2","3","2","2",2,1,2,0,0,0,0,0,1,"4",2647,2647,770,1
104,27,"male","0","0",1,24,"2","2","2","2",1,0,2,0,1,1,0,0,0,"3",4020,3618,879,1
105,26,"male","1","2",1,12,"2","1","2","2",1,0,3,0,0,1,1,0,0,"4",1158,926,253,1
106,30,"male","1","0",2,27,"3","2","4","3",1,0,1,0,0,1,1,0,0,"2",5965,5965,1508,1
107,50,"male","1","4",2,15,"4","4","4","2",1,0,4,1,0,1,1,0,1,"4",1537,1383,291,1
108,46,"male","3","4",2,7,"4","2","4","1",1,1,4,0,0,0,1,0,0,"4",730,511,85,1
109,47,"male","3","2",1,15,"2","3","4","2",1,0,4,0,1,1,1,0,0,"4",1213,1091,261,1
110,54,"male","0","0",1,12,"4","3","4","2",1,0,4,0,0,1,0,0,1,"2",1409,1268,318,1
111,24,"male","1","0",1,36,"2","4","3","2",1,1,4,0,0,0,0,0,0,"4",2323,1393,296,1
112,23,"male","2","0",1,15,"2","4","1","2",1,1,4,0,0,0,1,0,0,"5",392,352,91,1
113,41,"male","3","0",2,24,"4","2","4","3",1,1,4,0,0,0,1,0,0,"2",3868,2707,372,1
114,29,"female","0","0",1,36,"3","3","2","2",1,0,4,0,1,1,1,0,0,"5",6887,6198,-4715,0
115,30,"male","1","0",1,36,"2","1","1","3",1,0,4,0,0,1,1,0,0,"4",4795,3356,805,1
116,38,"female","3","0",1,10,"2","4","2","2",1,0,1,0,0,1,1,1,0,"4",1924,1539,381,1
117,30,"female","3","0",2,18,"4","1","1","2",1,0,4,0,0,1,0,0,0,"1",1055,844,164,1
118,26,"male","3","0",1,12,"2","1","2","2",1,0,4,0,0,1,1,0,1,"3",763,610,175,1
119,30,"male","1","0",2,36,"3","2","2","3",1,0,2,0,1,1,1,0,1,"6",4455,4455,-2746,0
120,34,"female","1","1",1,48,"0","4","3","1",2,0,4,0,0,0,0,0,0,"6",3844,3075,-2447,0
121,27,"male","0","0",1,12,"2","3","2","1",1,0,4,0,0,1,0,0,1,"1",1168,934,251,1
122,45,"female","3","4",1,36,"2","4","4","1",1,0,2,0,0,1,1,0,1,"4",3835,2301,458,1
123,23,"male","0","4",1,12,"2","4","2","2",1,1,4,0,1,0,1,0,0,"5",1200,1080,299,1
124,51,"male","3","2",1,9,"2","4","4","1",1,0,2,0,0,0,0,0,0,"1",2507,1504,262,1
125,51,"male","3","0",1,6,"2","2","3","2",2,0,3,0,0,1,0,0,0,"4",1595,1595,534,1
126,46,"male","2","0",1,12,"2","2","2","1",1,0,1,0,0,1,0,0,0,"3",2251,1575,349,1
127,55,"female","0","0",1,24,"2","4","4","2",1,0,4,0,0,1,0,0,0,"4",1603,961,195,1
128,37,"male","3","2",1,12,"4","4","3","2",1,1,3,0,0,0,1,0,0,"3",1402,1261,397,1
129,50,"female","3","0",1,12,"2","2","2","2",1,0,4,0,0,1,0,0,1,"3",1574,1416,446,1
130,28,"male","1","0",1,36,"2","4","1","3",1,1,1,0,0,0,1,0,0,"2",9398,6578,-2415,0
131,42,"male","1","0",1,36,"0","1","2","2",1,0,4,0,0,1,1,0,0,"4",3804,2282,-1051,0
132,25,"female","3","1",1,24,"2","1","2","2",1,0,4,0,1,1,0,0,0,"3",5511,3306,723,1
133,32,"male","0","0",1,24,"2","3","1","2",1,0,4,0,0,1,0,0,0,"4",1938,1550,-696,0
134,30,"male","3","1",2,18,"4","2","2","2",1,0,4,0,0,1,0,0,1,"5",1864,1491,-1183,0
135,26,"male","0","0",1,21,"2","4","3","1",1,1,1,0,0,0,0,0,0,"3",3599,2159,426,1
136,29,"female","1","0",1,9,"2","2","2","2",1,0,1,0,0,1,0,1,0,"3",959,479,-247,0
137,37,"male","2","4",1,12,"2","3","4","3",1,0,2,0,0,1,0,0,0,"4",3399,2039,493,1
138,33,"male","3","0",2,18,"4","4","4","2",1,0,3,0,0,1,1,0,0,"4",6070,4249,758,1
139,38,"male","1","0",1,18,"2","4","0","3",1,0,3,0,0,0,1,0,0,"2",12976,6488,-3587,0
140,19,"female","1","3",1,12,"2","4","1","1",1,1,1,0,0,0,0,0,1,"3",983,589,141,1
141,28,"female","1","4",2,18,"4","4","2","2",1,0,4,0,1,1,0,0,1,"6",1887,1698,312,1
142,35,"male","3","0",2,33,"4","2","3","3",1,0,3,0,0,1,1,0,0,"2",7253,5077,730,1
143,30,"female","1","4",1,12,"2","2","2","2",1,0,4,0,0,1,0,0,0,"2",2028,1825,518,1
144,29,"female","1","0",2,24,"2","3","2","3",1,0,2,0,1,1,1,0,0,"0",11328,7929,-4440,0
145,30,"male","0","0",1,12,"2","3","2","2",1,0,2,0,0,1,0,0,0,"3",1620,972,200,1
146,29,"female","3","0",1,6,"2","1","2","2",1,0,3,0,0,1,0,0,1,"4",518,466,135,1
147,36,"male","0","0",1,15,"2","3","1","2",1,0,2,0,0,1,0,0,1,"1",1721,860,163,1
148,23,"female","0","0",1,6,"2","4","1","2",1,0,4,0,0,1,0,0,0,"5",448,268,-220,0
149,26,"male","1","0",1,24,"2","1","1","2",1,0,4,0,0,1,0,0,0,"1",1201,720,165,1
150,42,"male","1","0",2,27,"0","4","4","3",1,0,2,0,0,0,1,0,0,"6",8318,7486,-5624,0
151,42,"male","0","0",1,36,"2","4","4","2",2,0,2,0,0,0,0,0,0,"2",5493,4394,1032,1
152,32,"male","3","0",1,36,"2","2","2","3",1,0,2,0,0,0,1,0,0,"2",4686,2343,378,1
153,24,"male","0","0",1,18,"2","2","2","2",1,0,2,0,0,1,0,0,1,"4",3190,1914,-1031,0
154,28,"male","1","1",2,15,"2","4","2","2",1,1,2,0,0,0,1,0,0,"1",2631,1315,-459,0
155,60,"male","3","0",2,24,"3","4","4","2",1,0,4,0,0,0,1,0,0,"1",2032,1219,125,1
156,45,"male","3","2",1,6,"1","4","4","1",2,0,2,0,1,1,0,0,0,"4",1750,1050,229,1
157,24,"female","0","0",1,24,"1","4","3","1",1,1,4,1,1,0,0,0,0,"4",1546,1546,-813,0
158,38,"female","3","0",1,30,"4","2","3","2",1,0,3,0,0,1,0,0,0,"4",5954,4167,835,1
159,49,"female","1","0",2,12,"4","3","1","1",2,0,1,0,1,1,0,0,1,"1",3124,3124,616,1
160,42,"male","1","4",2,24,"3","4","2","2",1,1,4,0,0,0,1,0,0,"1",1965,1572,307,1
161,30,"male","1","0",1,9,"2","1","2","2",1,0,4,0,0,1,0,0,0,"3",918,734,-284,0
162,48,"male","2","1",1,10,"2","4","4","1",2,0,1,0,0,0,0,0,0,"1",1240,744,-409,0
163,32,"female","3","0",2,18,"4","2","2","2",1,0,3,0,1,1,0,0,0,"1",1530,1377,-653,0
164,44,"female","0","0",1,18,"1","3","2","2",1,0,4,0,1,1,0,0,0,"3",1553,931,-366,0
165,38,"female","1","0",2,15,"2","4","4","1",1,0,4,0,0,1,0,0,0,"0",1308,784,78,1
166,37,"female","1","0",1,12,"2","2","2","1",1,0,4,0,0,1,0,0,0,"3",1922,1345,-494,0
167,23,"male","0","4",1,12,"2","2","2","2",1,0,4,0,0,1,0,0,0,"1",900,900,-491,0
168,31,"female","3","1",2,36,"2","2","3","2",1,0,2,0,0,1,1,0,0,"6",5742,5742,1198,1
169,37,"male","3","4",1,12,"2","4","2","2",1,0,4,0,0,0,1,0,0,"4",2279,1595,426,1
170,25,"male","1","1",1,15,"2","2","2","1",1,0,3,0,0,1,0,0,1,"0",2631,1841,457,1
171,46,"male","0","0",2,48,"4","4","4","2",1,0,4,0,0,0,1,0,0,"2",6331,5697,-2024,0
172,35,"male","0","0",1,6,"1","4","4","2",1,0,4,0,0,0,0,0,0,"5",1198,838,-590,0
173,24,"male","1","3",1,6,"1","2","1","2",2,1,4,0,1,0,0,0,0,"5",433,389,-328,0
174,21,"male","0","0",1,24,"2","4","2","1",2,1,2,0,0,0,0,0,1,"4",1987,1192,-693,0
175,23,"female","1","0",1,10,"1","4","2","1",1,0,4,0,1,1,0,0,1,"4",1048,838,186,1
176,23,"female","0","0",1,18,"2","2","1","1",1,0,1,0,0,1,0,0,0,"1",976,683,-300,0
177,24,"female","0","0",2,18,"4","4","2","2",1,1,4,0,0,0,0,0,1,"3",2124,1486,-587,0
178,25,"male","0","0",2,36,"4","2","2","3",1,0,3,0,0,1,1,0,0,"5",8065,4839,-3043,0
179,60,"female","3","3",1,24,"4","4","4","2",1,0,4,0,0,1,1,0,1,"1",1940,1746,466,1
180,41,"female","3","4",1,24,"2","4","4","3",2,0,3,0,0,1,1,0,0,"2",6313,6313,2196,1
181,48,"male","1","0",2,18,"4","4","4","1",1,1,3,1,1,0,1,0,1,"4",1795,1615,282,1
182,28,"female","1","0",1,6,"2","3","3","1",1,0,3,1,1,1,0,0,1,"4",484,338,71,1
183,24,"male","2","0",1,12,"2","1","2","2",1,0,3,0,0,1,0,0,0,"4",3016,2412,567,1
184,23,"male","0","0",1,18,"2","3","1","2",1,1,4,0,0,0,1,0,0,"1",1216,729,-266,0
185,28,"male","3","0",2,21,"3","2","2","1",1,0,3,0,1,1,0,0,1,"2",2993,2095,359,1
186,43,"female","3","4",2,24,"4","4","3","2",1,0,3,0,0,1,1,0,0,"2",4042,2425,301,1
187,28,"female","3","0",1,18,"3","2","2","2",1,0,4,0,0,1,1,0,0,"6",2169,1952,-1355,0
188,46,"male","2","0",2,6,"4","4","4","2",2,0,1,0,0,1,0,1,1,"1",1343,805,84,1
189,48,"male","3","4",1,24,"2","4","2","2",1,0,2,0,0,0,1,0,0,"2",9277,5566,981,1
190,46,"male","3","0",2,15,"4","4","4","2",1,0,4,0,0,1,1,0,0,"4",1829,1829,464,1
191,44,"male","3","4",2,20,"4","4","1","2",1,0,2,0,0,1,1,0,1,"1",3485,2788,456,1
192,25,"male","1","0",1,24,"4","4","1","1",1,0,2,0,1,1,0,0,0,"3",4736,4262,-1718,0
193,37,"male","3","2",1,48,"3","1","3","3",1,0,4,0,0,1,1,0,0,"4",12749,12749,3442,1
194,22,"male","1","0",1,9,"2","2","1","2",1,0,4,0,0,1,1,0,0,"4",1670,1503,-488,0
195,31,"male","3","0",1,10,"2","2","2","1",2,0,3,0,0,1,0,1,1,"1",1546,1236,286,1
196,24,"male","0","0",2,36,"3","1","3","2",1,0,2,0,0,1,1,0,0,"6",2145,1072,-673,0
197,47,"male","1","0",2,21,"3","4","2","2",1,0,1,0,0,1,0,0,0,"1",2353,2117,405,1
198,43,"male","3","0",1,24,"2","4","2","1",2,0,1,0,0,1,0,0,0,"1",7393,4435,767,1
199,33,"male","3","0",1,48,"2","2","0","3",1,1,3,0,1,0,1,0,0,"6",4844,3390,-2152,0
200,34,"male","3","1",1,15,"1","4","4","1",2,0,4,0,1,1,0,0,0,"4",1569,941,158,1
201,49,"male","3","0",1,12,"4","3","3","1",2,0,2,0,0,1,0,0,1,"5",2096,1467,383,1
202,22,"male","1","0",1,12,"2","1","2","2",1,0,1,0,0,1,1,0,0,"4",1567,1096,241,1
203,48,"male","0","0",2,10,"4","3","1","1",2,1,1,0,0,0,0,1,1,"1",2241,1568,258,1
204,30,"male","1","1",2,18,"2","2","2","2",1,0,2,0,0,1,1,0,0,"1",5866,2933,225,1
205,44,"male","1","0",1,18,"3","4","2","1",2,0,2,0,0,1,1,0,1,"0",6204,4963,1229,1
206,25,"male","3","0",1,12,"2","2","2","2",1,0,3,0,0,1,0,0,0,"4",1262,1009,275,1
207,61,"male","1","0",1,36,"0","4","4","3",1,0,4,0,0,0,1,0,0,"6",1953,1562,-976,0
208,51,"male","0","0",2,8,"4","4","4","3",2,0,3,0,1,0,1,0,0,"0",1164,698,87,1
209,24,"male","3","1",1,18,"2","4","2","1",1,1,3,0,0,0,0,0,0,"6",1568,1254,363,1
210,33,"male","3","4",1,12,"4","3","4","1",2,0,4,0,1,1,0,0,0,"4",797,717,-302,0
211,24,"male","3","0",1,6,"3","2","2","2",1,0,3,0,0,1,0,0,1,"4",932,652,167,1
212,28,"male","1","0",1,18,"2","3","3","1",1,1,3,0,0,0,0,0,1,"1",6260,3756,708,1
213,24,"female","3","0",1,12,"2","2","2","1",1,1,3,0,0,0,0,0,1,"3",1768,1237,300,1
214,27,"male","3","0",2,15,"2","3","1","1",1,0,2,0,1,1,0,0,0,"3",2708,1354,151,1
215,27,"female","0","0",1,27,"2","2","2","3",1,0,3,0,0,1,0,0,0,"4",3416,3074,922,1
216,24,"male","2","0",1,36,"2","1","2","2",1,0,4,0,0,1,0,0,0,"4",5848,4093,896,1
217,36,"female","3","2",2,15,"2","3","3","2",1,0,4,0,0,1,1,0,0,"0",1262,757,72,1
218,34,"male","1","0",1,24,"3","2","0","3",1,0,3,0,0,1,1,0,0,"3",2064,1651,-882,0
219,40,"male","0","4",2,21,"1","2","2","1",2,0,4,0,0,1,0,0,0,"1",1647,1152,-610,0
220,36,"male","1","0",1,27,"2","2","2","2",2,0,4,0,0,1,1,0,0,"6",3915,1957,-1448,0
221,26,"female","3","0",2,27,"3","4","3","2",1,0,3,0,0,1,0,0,0,"6",5117,3581,647,1
222,50,"male","0","0",2,27,"0","4","0","2",1,0,2,0,1,1,1,0,0,"6",5293,4763,-4064,0
223,30,"male","3","0",2,12,"2","2","2","2",1,0,4,0,1,1,0,0,1,"4",707,565,90,1
224,35,"male","3","1",1,12,"2","1","3","2",1,0,3,0,0,1,0,0,0,"4",2141,1712,445,1
225,24,"male","0","0",2,48,"0","4","4","2",2,0,3,0,0,0,0,0,0,"2",4605,3684,-1645,0
226,24,"male","1","0",1,30,"2","2","2","2",1,0,4,1,1,1,0,0,0,"1",2150,1720,-683,0
227,36,"male","0","0",3,18,"4","4","4","3",1,0,2,0,0,0,1,0,0,"1",5302,4771,564,1
228,36,"female","1","4",1,48,"1","4","0","3",1,0,4,0,0,0,1,0,0,"1",12169,7301,1522,1
229,49,"female","2","4",1,18,"1","4","3","1",1,0,4,0,1,1,0,0,0,"4",1445,1011,235,1
230,44,"male","0","0",2,24,"4","4","4","3",2,0,2,0,0,0,1,0,0,"2",6419,4493,763,1
231,37,"female","2","4",2,24,"4","2","3","1",2,0,4,0,1,1,0,0,1,"1",1344,806,-348,0
232,26,"male","2","0",1,24,"2","4","1","2",1,0,2,0,0,1,0,0,0,"3",3749,2624,612,1
233,34,"male","0","0",1,24,"2","1","3","3",1,0,2,0,0,0,1,0,0,"2",2910,1455,306,1
234,24,"male","1","1",1,60,"2","2","1","3",1,0,4,0,0,1,0,0,0,"1",7408,5926,-3545,0
235,25,"female","1","2",1,18,"2","3","1","2",1,1,1,0,0,0,0,0,1,"4",3213,1927,434,1
236,38,"male","3","4",1,18,"4","4","0","3",1,0,2,0,0,1,1,0,0,"2",3229,3229,1119,1
237,36,"female","2","0",2,12,"3","2","2","2",1,0,2,0,1,1,1,0,0,"1",2247,1797,338,1
238,23,"female","3","0",2,10,"4","3","1","2",1,1,1,0,0,0,0,0,1,"3",2146,1716,320,1
239,25,"male","3","4",1,22,"2","4","3","2",1,1,4,0,0,0,0,0,0,"1",1283,898,215,1
240,39,"male","0","0",1,36,"2","4","3","3",2,0,2,0,1,0,1,0,0,"1",3249,2599,564,1
241,27,"male","3","0",2,24,"3","2","1","2",1,0,2,0,1,1,1,0,0,"6",8648,6918,-4433,0
242,42,"male","3","0",2,12,"4","2","0","3",1,0,4,0,1,1,1,0,0,"6",2292,2292,-1437,0
243,47,"female","1","0",2,12,"4","3","3","1",2,0,2,0,0,1,0,0,1,"1",958,670,105,1
244,36,"female","0","0",3,6,"4","4","0","3",1,0,4,0,0,0,1,0,0,"3",1872,1497,155,1
245,29,"male","1","0",2,20,"3","3","2","2",1,0,2,0,1,1,1,0,0,"0",2629,1577,258,1
246,34,"female","3","0",2,12,"0","4","4","2",1,0,2,0,0,1,0,0,0,"3",2759,2207,421,1
